End of Period,Loan Number,Region,Country Code,Country,Borrower,Guarantor Country Code,Guarantor,Loan Type,Loan Status,Interest Rate,Currency of Commitment,Project ID,Project Name,Original Principal Amount,Cancelled Amount,Undisbursed Amount,Disbursed Amount,Repaid to IBRD,Due to IBRD,Exchange Adjustment,Borrower's Obligation,Sold 3rd Party,Repaid 3rd Party,Due 3rd Party,Loans Held,First Repayment Date,Last Repayment Date,Agreement Signing Date,Board Approval Date,Effective Date (Most Recent),Closed Date (Most Recent),Last Disbursement Date
05/31/2023 12:00:00 AM,IBRD00010,EUROPE AND CENTRAL ASIA,FR,France,CREDIT NATIONAL,FR,France,NPL,Fully Repaid,4.25,,P037383,RECONSTRUCTION,250000000,0,0,250000000,38000,0,0,0,249962000,249962000,0,0,11/01/1952 12:00:00 AM,05/01/1977 12:00:00 AM,05/09/1947 12:00:00 AM,05/09/1947 12:00:00 AM,06/09/1947 12:00:00 AM,12/31/1947 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00020,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4.25,,P037452,RECONSTRUCTION,191044211.75,0,0,191044211.75,103372211.75,0,0.01,0.01,87672000,87672000,0,0,04/01/1952 12:00:00 AM,10/01/1972 12:00:00 AM,08/07/1947 12:00:00 AM,08/07/1947 12:00:00 AM,09/11/1947 12:00:00 AM,03/31/1948 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00021,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4.25,,P037452,RECONSTRUCTION,3955788.25,0,0,3955788.25,0,0,0,0,3955788.25,3955788.25,0,0,04/01/1953 12:00:00 AM,04/01/1954 12:00:00 AM,05/25/1948 12:00:00 AM,08/07/1947 12:00:00 AM,06/01/1948 12:00:00 AM,06/30/1948 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00030,EUROPE AND CENTRAL ASIA,DK,Denmark,,,,NPL,Fully Repaid,4.25,,P037362,RECONSTRUCTION,40000000,0,0,40000000,17771000,0,0,0,22229000,22229000,0,0,02/01/1953 12:00:00 AM,08/01/1972 12:00:00 AM,08/22/1947 12:00:00 AM,08/22/1947 12:00:00 AM,10/17/1947 12:00:00 AM,03/31/1949 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00040,EUROPE AND CENTRAL ASIA,LU,Luxembourg,,,,NPL,Fully Repaid,4.25,,P037451,RECONSTRUCTION,12000000,238016.98,0,11761983.02,1619983.02,0,0,0,10142000,10142000,0,0,07/15/1949 12:00:00 AM,07/15/1972 12:00:00 AM,08/28/1947 12:00:00 AM,08/28/1947 12:00:00 AM,10/24/1947 12:00:00 AM,03/31/1949 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00050,LATIN AMERICA AND CARIBBEAN,CL,Chile,Ministry of Finance,CL,Chile,NPL,Fully Repaid,4.5,,P006578,POWER,13500000,0,0,13500000,12167000,0,0,0,1333000,1333000,0,0,07/01/1953 12:00:00 AM,07/01/1968 12:00:00 AM,03/25/1948 12:00:00 AM,03/25/1948 12:00:00 AM,04/07/1949 12:00:00 AM,12/31/1954 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00060,LATIN AMERICA AND CARIBBEAN,CL,Chile,Ministry of Finance,CL,Chile,NPL,Fully Repaid,3.75,,P006577,FOMENTO AGRIC CREDIT,2500000,0,0,2500000,755000,0,0,0,1745000,1745000,0,0,07/01/1950 12:00:00 AM,01/01/1955 12:00:00 AM,03/25/1948 12:00:00 AM,03/25/1948 12:00:00 AM,04/07/1949 12:00:00 AM,01/01/1950 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00070,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037453,SHIPPING I,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,01/15/1949 12:00:00 AM,07/15/1958 12:00:00 AM,07/15/1948 12:00:00 AM,05/21/1948 12:00:00 AM,08/03/1948 12:00:00 AM,08/03/1948 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00071,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037453,SHIPPING I,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,01/15/1949 12:00:00 AM,07/15/1958 12:00:00 AM,07/15/1948 12:00:00 AM,05/21/1948 12:00:00 AM,08/03/1948 12:00:00 AM,08/03/1948 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00080,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037454,SHIPPING II,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,01/15/1949 12:00:00 AM,07/15/1958 12:00:00 AM,07/15/1948 12:00:00 AM,05/21/1948 12:00:00 AM,08/03/1948 12:00:00 AM,08/03/1948 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00090,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037455,SHIPPING III,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,01/15/1949 12:00:00 AM,07/15/1958 12:00:00 AM,07/15/1948 12:00:00 AM,05/21/1948 12:00:00 AM,08/03/1948 12:00:00 AM,08/03/1948 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00100,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037456,SHIPPING IV,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,01/15/1949 12:00:00 AM,07/15/1958 12:00:00 AM,07/15/1948 12:00:00 AM,05/21/1948 12:00:00 AM,08/03/1948 12:00:00 AM,08/03/1948 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00101,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,3.5625,,P037456,SHIPPING IV,2000000,0,0,2000000,0,0,0,0,2000000,2000000,0,0,01/15/1949 12:00:00 AM,07/15/1958 12:00:00 AM,07/15/1948 12:00:00 AM,05/21/1948 12:00:00 AM,08/03/1948 12:00:00 AM,08/03/1948 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00111,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.5,,P006214,POWER AND TELEPHONE,75000000,0,0,75000000,70971588.97,0,0,0,4028411.03,4028411.03,0,0,07/01/1953 12:00:00 AM,01/01/1974 12:00:00 AM,01/27/1949 12:00:00 AM,01/27/1949 12:00:00 AM,05/09/1949 12:00:00 AM,12/31/1953 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00112,LATIN AMERICA AND CARIBBEAN,BR,Brazil,Ministério da Fazenda,BR,Brazil,NPL,Fully Repaid,4.25,,P006214,POWER AND TELEPHONE,15000000,0,0,15000000,15000000,0,0,0,0,0,0,0,07/01/1955 12:00:00 AM,01/01/1976 12:00:00 AM,01/18/1951 12:00:00 AM,01/16/1951 12:00:00 AM,04/10/1951 12:00:00 AM,12/31/1954 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00120,LATIN AMERICA AND CARIBBEAN,MX,Mexico,Secretaria de Hacienda Y Credito Publico,MX,Mexico,NPL,Fully Repaid,4.5,,P007497,POWER I,24100000,0,0,24100000,20131700,0,0,0,3968300,3968300,0,0,02/01/1953 12:00:00 AM,08/01/1973 12:00:00 AM,01/06/1949 12:00:00 AM,01/06/1949 12:00:00 AM,03/15/1949 12:00:00 AM,03/31/1956 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00130,LATIN AMERICA AND CARIBBEAN,MX,Mexico,Secretaria de Hacienda Y Credito Publico,MX,Mexico,NPL,Fully Cancelled,4.5,,P007498,POWER II,10000000,10000000,0,0,0,0,0,0,0,0,0,0,01/01/1951 12:00:00 AM,01/01/1951 12:00:00 AM,01/06/1949 12:00:00 AM,01/06/1949 12:00:00 AM,03/15/1949 12:00:00 AM,07/01/1950 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00140,EUROPE AND CENTRAL ASIA,BE,Belgium,MINISTERE DES FINANCES,BE,Belgium,NPL,Fully Repaid,4.25,,P037358,INDUSTRY,16000000,0,0,16000000,0,0,0,0,16000000,16000000,0,0,09/01/1953 12:00:00 AM,03/01/1969 12:00:00 AM,03/01/1949 12:00:00 AM,02/08/1949 12:00:00 AM,03/01/1949 12:00:00 AM,06/01/1952 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00150,EUROPE AND CENTRAL ASIA,NL,Netherlands,,,,NPL,Fully Repaid,4,,P037457,INDUSTRIAL PROJECTS,15000000,7548015.28,0,7451984.72,1025088.71,0,0,0,6426896.01,6426896.01,0,0,12/01/1952 12:00:00 AM,06/01/1964 12:00:00 AM,07/26/1949 12:00:00 AM,07/26/1949 12:00:00 AM,09/15/1949 12:00:00 AM,12/01/1953 12:00:00 AM,
05/31/2023 12:00:00 AM,IBRD00160,EUROPE AND CENTRAL ASIA,FI,Finland,,,,NPL,Fully Repaid,4,,P037366,INDUSTRY I,12500000,0,0,12500000,6747990.11,0,0,0,5752009.89,5752009.89,0,0,02/01/1953 12:00:00 AM,08/01/1964 12:00:00 AM,08/01/1949 12:00:00 AM,07/26/1949 12:00:00 AM,09/12/1949 12:00:00 AM,12/31/1953 12:00:00 AM,
